cohort_id,bigint(20),NO,PRI,,auto_increment
workspace_id,bigint(20),NO,MUL,,""
name,varchar(80),NO,"",,""
type,varchar(80),NO,"",,""
description,longtext,YES,"",,""
criteria,mediumblob,YES,"",,""
creator_id,bigint(20),YES,MUL,,""
creation_time,datetime,NO,"",,""
last_modified_time,datetime,NO,"",,""
version,smallint(6),NO,"",1,""
