id,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,1815,3025150,0,8532,,,3289,0,8,0.15,0.56,0,0,0,0,0
0,1815,3026623,0,8507,,,20,0,106,8.45,24.82,0,0,0,0,0
0,1815,3027223,0,8507,,,20,0,26,3.6,7.45,0,0,0,0,0
0,1815,3027227,0,8507,,,210,0,16,0.23,1.55,0,0,0,0,0
0,1815,3027227,0,8532,,,231,0,4,0.06,0.41,0,0,0,0,0
0,1815,3027557,0,8507,,,4,0,38,12.8,17.92,0,0,0,0,5
0,1815,3027651,0,8507,,,552,0,884.4,1.66,37.64,0,0,0,0,0
0,1815,3027651,0,8532,,,1104,0,2.2,0.03,0.1,0,0,0,0,0
0,1815,3027678,0,8507,,,1081,0,8,1.2,1.3,0,0,0,0,1
0,1815,3027678,0,8532,,,1009,0,100,1.29,3.43,0,0,0,0,1
0,1815,3028018,0,8507,,,2,0,0.11,0.06,0.08,0,0,0,0,0
0,1815,3028018,0,8532,,,3,0,0.18,0.06,0.1,0,0,0,0,0
0,1815,3028274,0,8507,,,19,0,116,7.89,26.23,0,0,0,0,1
0,1815,3030791,0,8532,,,2842,0,42,0.1,1.13,0,0,0,0,0
0,1815,3030791,0,8507,,,3036,0,59,0.19,2.05,0,0,0,0,0
0,1815,3030884,0,8532,,,2161,0,100,28.27,36.46,0,0,0,0,2
0,1815,3031103,0,8507,,,6,0,39,11.83,15.3,0,0,0,0,0
0,1815,3032926,0,8532,,,5233,0,100,1.73,8.75,0,0,0,0,0
0,1815,3032926,0,8507,,,5812,0,100,1.96,9.01,0,0,0,0,0
0,1815,3035792,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,3035792,0,8532,,,10,0,0,0,0,0,0,0,0,0
0,1815,3037350,0,8507,,,120,0,137,6.56,22.2,0,0,0,0,0
0,1815,3037350,0,8532,,,163,0,302,3.08,25.93,0,0,0,0,0
0,1815,3039835,0,8507,,,2375,0,46,0.22,1.49,0,0,0,0,0
