concept_id_1,concept_id_2
19121953,920064
19044495,925952
1719049,925952
40227557,925952
40236956,925952
19082823,925952
19088931,925952
19082473,925952
19048507,925952
40232571,925952
19098893,925952
19041534,925952
19082475,925952
1719054,925952
19098892,925952
46221251,925952
40226318,925952
19082443,925952
40228552,925952
40241049,925952
19022367,925952
19081638,925952
43525939,925952
40237695,925952
19021836,1516800
43525517,1517824
40168122,1517824
40168755,1517824
19075069,1517824
19029131,1517824
40236117,1517824
19055738,1517824
19055655,1517824
40238452,1517824
40234462,1517824
40168121,1517824
40241909,1517824
40239206,1517824
19075093,1517824
19081277,1517824
19082896,1517824
40234768,1517824
19043536,1517824
19075067,1517824
19043538,1517824
42901097,1517824
19075065,1517824
19057824,904704
19102952,19009025
19102951,19009025
19133171,19009025
45892958,1589505
19124400,1589505
45776765,1589505
40165159,1589505
19126934,1589505
1718317,1589505
42874046,1589505
19051555,1589505
1594462,1589505
19027201,1589505
35603662,1589505
46221623,1589505
19050830,1589505
45776457,1589505
46276286,1589505
44814453,1589505
19048915,1589505
1718404,1589505
43532050,1589505
43012941,1589505
19015372,1589505
35604411,1589505
19050828,1589505
19071117,1589505
19092604,1589505
19022254,1589505
19045212,1589505
45774740,1589505
45892730,1589505
44784668,19100417
19031873,766209
19016379,766209
19059130,766209
40167881,766209
19053374,766209
19062191,766209
19016122,766209
19086595,766209
19091071,766209
44817942,966913
19044828,19007490
19014676,1316354
43525473,1316354
43525542,1316354
19079428,1316354
40186274,1316354
19013661,1316354
19014675,1316354
19101479,1316354
19101478,1316354
19013563,1316354
19051691,1316354
19065801,1316354
19017166,1126658
19087876,1126658
40173157,1126658
40174636,1126658
19087174,1126658
19037338,1126658
42800066,738818
40237293,738818
40231774,738818
19121455,738818
44507454,738818
42705750,738818
40235883,738818
19011898,738818
19084569,738818
43525380,738818
40228912,738818
40238374,738818
19080172,738818
19021061,738818
43532645,738818
44815846,738818
42800388,738818
40231481,738818
40234692,738818
40241086,738818
43526155,738818
40237788,738818
19009925,738818
44507753,738818
40241814,738818
19083290,738818
43532761,738818
19126158,738818
40233336,738818
19000648,738818
42707105,738818
40230525,738818
19073398,738818
19031753,738818
35603969,738818
43013577,738818
19043456,738818
42898939,738818
42873718,738818
19034950,738818
44506555,738818
19130277,738818
44816100,738818
19101518,19025922
19088918,1740546
19135826,1740546
19032467,40164866
40165740,40164866
40164001,40164866
40167821,40164866
19032499,40164866
40165828,40164866
40165829,40164866
40165742,40164866
19032039,529411
19070615,529411
19001663,529411
19087029,529411
19073782,529411
19087111,529411
19127062,529411
19031438,529411
19087027,529411
19079703,529411
19083910,529411
19034101,529411
46221247,529411
19032420,529411
40243652,529411
19054131,1792515
19054958,1792515
19054956,1792515
19087117,19095043
40175330,40163587
40174836,40163587
40163136,40163587
40174031,40163587
40176000,40163587
42705764,40163587
19053293,19007748
40170105,19009540
19063792,19009540
40240966,19009540
40241091,19009540
40234561,19009540
19051734,19009540
19054926,19009540
19014087,19009540
19015917,19009540
43012931,19009540
40235789,19009540
19053373,19009540
45774873,19009540
40241909,19009540
40168755,19009540
40170120,19009540
40233806,19009540
19053520,19009540
19053877,19009540
40236329,19009540
40168121,19009540
40235790,19009540
40222599,19009540
40170119,19009540
19103006,19009540
40236374,19009540
40236386,19009540
19049484,19009540
40168122,19009540
19054952,19009540
19085432,19009540
40233805,19009540
19053372,19009540
19053380,19009540
42707170,19009540
40236387,19009540
19043638,19009540
40170106,19009540
44815859,19009540
40236405,19009540
19063740,19009540
19075468,19009540
19084423,19009540
19059945,19026180
19101035,19026180
19013698,19035396
40224966,40225028
40224949,40225028
40240722,40225028
40240882,40225028
40224134,40225028
40240422,40225028
40225822,40225028
40224947,40225028
40240867,40225028
40240109,40225028
40224964,40225028
19131492,1302788
19054183,1302788
40234450,1302788
19131493,1302788
40164986,40165636
19127288,1501700
19071295,1501700
40243656,1501700
19071329,1501700
19054805,1501700
40225076,1501700
46221599,1501700
19071119,1501700
19071266,1501700
19064890,1501700
19006175,1501700
19071209,1501700
40170230,1501700
43526083,1501700
19021663,1501700
42801154,1501700
19087323,1501700
19058012,1501700
19006637,1501700
19078428,1501700
19042138,1309188
19126911,19008261
19027545,986117
40166245,986117
40235952,986117
19012000,986117
19068865,986117
40167392,986117
19100322,986117
44785785,19010309
42705403,19010309
43532073,19010309
40230171,19010309
43532182,19010309
45776846,19010309
40234468,19010309
40231565,19010309
42901130,19010309
45775056,19010309
19013978,1335301
19048149,1335301
42901145,19122437
43525927,19122437
42874100,19122437
43525491,904453
19005694,904453
19015928,907013
19048252,907013
19048218,907013
19102423,907013
19085406,777221
19070758,777221
19085408,777221
19073376,777221
19085410,777221
19004182,777221
19053835,777221
19039137,777221
19071376,777221
19050619,777221
19049128,777221
19085404,777221
19072375,777221
19114801,777221
19018194,777221
19073374,777221
19015881,777221
19079846,777221
19032572,928006
1593732,928006
40164036,928006
19010381,928006
40243283,928006
19085552,928006
19048576,928006
19079042,928006
19125770,928006
19062374,928006
19067460,929542
19023258,1192710
43532708,1192710
40236287,1192710
42901556,1192710
19032065,1192710
19010312,1192710
19052966,1192710
19030319,1192710
19072571,1192710
19072678,1192710
19070842,1192710
19070110,1192710
19074406,1192710
19074281,1192710
19124705,1192710
40234767,1192710
19059458,1192710
40241948,1192710
19084007,1192710
19072344,1192710
40221445,1192710
19099669,1192710
19083240,1192710
19060340,1192710
19083392,1192710
19113388,1192710
19056893,1192710
42706791,1192710
19011894,1192710
19005726,1192710
19075254,1192710
19051660,1192710
19079664,1192710
40166567,1192710
19060638,1192710
19074354,1192710
40170232,1192710
19098653,1192710
19080654,1192710
19076972,1192710
19047645,1192710
19001485,1192710
19060579,1192710
19084954,1192710
19073603,1192710
19027780,1192710
19058953,1192710
19086326,1192710
19062960,1192710
40166859,1192710
19063158,1192710
19083720,1192710
19046751,1192710
45776139,1192710
19082695,1192710
19083255,1192710
19131977,1192710
19027677,1192710
46233920,1192710
19070440,1192710
42706718,1192710
19059891,1192710
19071061,1192710
19081040,1192710
19131724,1192710
19045744,1192710
19050912,1192710
44506549,1192710
19052116,1192710
19055406,1192710
19073515,1192710
19073860,1192710
19132414,1192710
40234178,1192710
40243644,1192710
19053248,1192710
19031755,1192710
19124194,1192710
19050593,1192710
19005268,1192710
