"id","concept_id","value_as_concept_id","concept_name","type","est_count"
141,3002187,0,"MIN","NUM",0.1
142,3002187,0,"MAX","NUM",52.4
143,3002238,0,"MIN","NUM",0
144,3002238,0,"MAX","NUM",77.5
145,3002248,0,"MIN","NUM",0
146,3002248,0,"MAX","NUM",25.4
147,3002252,0,"MAX","NUM",10
148,3002252,0,"MIN","NUM",0.65
149,3002278,0,"MIN","NUM",0.03
150,3002278,0,"MAX","NUM",2045
151,3002291,0,"MAX","NUM",0.13
152,3002291,0,"MIN","NUM",0.13
153,3002348,0,"MIN","NUM",7
154,3002348,0,"MAX","NUM",197
155,3002374,0,"MAX","NUM",429.8
156,3002374,0,"MIN","NUM",0.2
157,3002395,0,"MAX","NUM",422.9
158,3002395,0,"MIN","NUM",3
159,3002400,0,"MAX","NUM",4540
160,3002400,0,"MIN","NUM",0
161,3002431,0,"MAX","NUM",493.82
162,3002431,0,"MIN","NUM",0.03
163,3002440,0,"MAX","NUM",2990
164,3002440,0,"MIN","NUM",50.5
165,3002463,0,"MIN","NUM",0.1
166,3002463,0,"MAX","NUM",83.7
167,3002479,0,"MIN","NUM",0.1
168,3002479,0,"MAX","NUM",12.6
169,3002523,0,"MAX","NUM",100
170,3002523,0,"MIN","NUM",90
171,3002527,0,"MAX","NUM",38.1
172,3002527,0,"MIN","NUM",0.1
173,3002538,0,"MAX","NUM",10.1
174,3002538,0,"MIN","NUM",0.12
175,3002617,0,"MIN","NUM",0
176,3002617,0,"MAX","NUM",631.3
177,3002621,0,"MIN","NUM",76
178,3002621,0,"MAX","NUM",2100
179,3002625,0,"MIN","NUM",2.7
180,3002625,0,"MAX","NUM",2040
181,3002636,0,"MAX","NUM",0.33
182,3002636,0,"MIN","NUM",0.11
183,3002639,0,"MAX","NUM",5.9
184,3002639,0,"MIN","NUM",1.2
185,3002751,0,"MAX","NUM",37
186,3002751,0,"MIN","NUM",0
187,3002752,0,"MAX","NUM",279
188,3002752,0,"MIN","NUM",1
189,3002754,0,"MAX","NUM",132.7
190,3002754,0,"MIN","NUM",1
191,3002762,0,"MIN","NUM",10
192,3002762,0,"MAX","NUM",155
193,3002827,0,"MAX","NUM",12006
194,3002827,0,"MIN","NUM",2
195,3002848,0,"MIN","NUM",0
196,3002848,0,"MAX","NUM",82
197,3002850,0,"MIN","NUM",6
198,3002850,0,"MAX","NUM",6
199,3002888,0,"MAX","NUM",318
200,3002888,0,"MIN","NUM",0
201,3003101,0,"MAX","NUM",1.28
202,3003101,0,"MIN","NUM",0.02
203,3003122,0,"MAX","NUM",20.36
204,3003122,0,"MIN","NUM",0.05
205,3003181,0,"MAX","NUM",643
206,3003181,0,"MIN","NUM",1
207,3003195,0,"MIN","NUM",2.2
208,3003195,0,"MAX","NUM",120
209,3003237,0,"MAX","NUM",22.23
210,3003237,0,"MIN","NUM",0.47
211,3003245,0,"MIN","NUM",3
212,3003245,0,"MAX","NUM",80
213,3003265,0,"MIN","NUM",5.1
214,3003265,0,"MAX","NUM",5.1
215,3003282,0,"MIN","NUM",0
216,3003282,0,"MAX","NUM",2513
217,3003406,0,"MAX","NUM",0.68
218,3003406,0,"MIN","NUM",0.12
219,3003415,0,"MIN","NUM",0
220,3003415,0,"MAX","NUM",6838.9
221,3003526,0,"MAX","NUM",29.2
222,3003526,0,"MIN","NUM",0.1
223,3003562,0,"MAX","NUM",42
224,3003562,0,"MIN","NUM",2
225,3003576,0,"MIN","NUM",0.11
226,3003576,0,"MAX","NUM",12.4
227,3003645,0,"MIN","NUM",0
228,3003645,0,"MAX","NUM",8.87
229,3003678,0,"MIN","NUM",80
230,3003678,0,"MAX","NUM",540
231,3003765,0,"MAX","NUM",0.56
232,3003765,0,"MIN","NUM",0.17
233,3003771,0,"MIN","NUM",36
234,3003771,0,"MAX","NUM",135
235,3003785,0,"MAX","NUM",101952.3
236,3003785,0,"MIN","NUM",0
237,3003888,0,"MAX","NUM",58.5
238,3003888,0,"MIN","NUM",0.1
239,3003985,0,"MIN","NUM",9
240,3003985,0,"MAX","NUM",385
241,3004009,0,"MAX","NUM",64
242,3004009,0,"MIN","NUM",0
243,3004057,0,"MIN","NUM",0
244,3004057,0,"MAX","NUM",8
245,3004141,0,"MAX","NUM",11.9
246,3004141,0,"MIN","NUM",0.1
247,3004149,0,"MIN","NUM",9
248,3004149,0,"MAX","NUM",141
249,3004206,0,"MIN","NUM",0
